id_curso,nombre,descripcion,categoria,fecha_creacion
1,Python para Analisis de Datos,Ya española millones armas señor diferentes punto llegado junio condiciones carácter esos nunca.,Datos,2025-09-24
2,Fundamentos de SQL,Humanos español mayor imposible nacional piel oro éxito paciente arriba película.,Datos,2025-06-26
3,Introduccion al Machine Learning,Mantener con quiero ninguna plaza boca experiencia unidad.,Datos,2025-06-30
4,Desarrollo Web con JavaScript,Trabajadores mes objeto tipos mil actividades haciendo opinión.,Programacion,2025-09-10
5,Fundamentos de Programacion en Python,Suelo ante muy esta explicó ante tu pasar razón acción martín.,Programacion,2025-11-08
6,Estructuras de Datos y Algoritmos,Respuesta artículo considera bastante volvió alta visita problema compañía usted imagen cambio dios.,Programacion,2025-06-27
7,Diseno de Experiencia de Usuario (UX),Abril siquiera así muchas generales martín suerte ella bajo buenos r mi claro vuelve plazo.,Diseno,2025-02-21
8,Diseno Grafico Digital,Título palabra plan aspectos lado juez expresión especialmente.,Diseno,2025-04-18
9,Marketing Digital,Rafael televisión tenían hacer señaló millones últimos expresión izquierda.,Negocios,2024-09-27
10,Gestion de Proyectos Agiles,Algunas mucho europa estos parte datos tengo podemos julio.,Negocios,2025-03-06
11,Excel Avanzado para Negocios,Había nuestras santiago políticos edad buscar así posibilidad hablar radio aire armas cada aunque evitar él.,Negocios,2025-04-16
12,Ciberseguridad Basica,Lleva hacen voz afirmó tenido miembros conocer menos precisamente industria viejo carrera valores ejemplo julio desarrollo.,Tecnologia,2025-06-05
