id_progreso_modulo,id_inscripcion,id_modulo,estado_modulo,porcentaje_avance_modulo,fecha_actualizacion
1,1,38,en_progreso,10,2026-09-19
2,1,39,no_iniciado,0,2026-08-11
3,1,40,no_iniciado,0,2026-08-11
4,1,41,no_iniciado,0,2026-08-11
5,1,42,no_iniciado,0,2026-08-11
6,1,43,no_iniciado,0,2026-08-11
7,2,1,en_progreso,10,2026-09-21
8,2,2,no_iniciado,0,2026-07-22
9,2,3,no_iniciado,0,2026-07-22
10,2,4,no_iniciado,0,2026-07-22
11,3,56,en_progreso,34.76,2026-09-21
12,3,57,no_iniciado,0,2026-05-23
13,3,58,no_iniciado,0,2026-05-23
14,3,59,no_iniciado,0,2026-05-23
15,3,60,no_iniciado,0,2026-05-23
16,4,5,completado,100,2026-09-20
17,4,6,en_progreso,10,2026-09-21
18,4,7,no_iniciado,0,2026-07-30
19,4,8,no_iniciado,0,2026-07-30
20,5,38,no_iniciado,0,2026-08-20
21,5,39,no_iniciado,0,2026-08-20
22,5,40,no_iniciado,0,2026-08-20
23,5,41,no_iniciado,0,2026-08-20
24,5,42,no_iniciado,0,2026-08-20
25,5,43,no_iniciado,0,2026-08-20
26,6,50,completado,100,2026-09-18
27,6,51,completado,100,2026-09-21
28,6,52,no_iniciado,0,2026-09-07
29,6,53,no_iniciado,0,2026-09-07
30,6,54,no_iniciado,0,2026-09-07
31,6,55,no_iniciado,0,2026-09-07
32,7,21,completado,100,2026-09-18
33,7,22,completado,100,2026-09-20
34,7,23,en_progreso,22.15,2026-09-21
35,7,24,no_iniciado,0,2026-08-18
36,7,25,no_iniciado,0,2026-08-18
37,7,26,no_iniciado,0,2026-08-18
38,7,27,no_iniciado,0,2026-08-18
39,8,17,en_progreso,58.36,2026-09-21
40,8,18,no_iniciado,0,2026-07-02
41,8,19,no_iniciado,0,2026-07-02
42,8,20,no_iniciado,0,2026-07-02
43,9,9,en_progreso,10,2026-09-18
44,9,10,no_iniciado,0,2026-05-18
45,9,11,no_iniciado,0,2026-05-18
46,9,12,no_iniciado,0,2026-05-18
47,10,32,completado,100,2026-09-17
48,10,33,en_progreso,48.08,2026-09-21
49,10,34,no_iniciado,0,2026-08-30
50,10,35,no_iniciado,0,2026-08-30
51,10,36,no_iniciado,0,2026-08-30
52,10,37,no_iniciado,0,2026-08-30
53,11,56,en_progreso,22.87,2026-09-19
54,11,57,no_iniciado,0,2026-06-06
55,11,58,no_iniciado,0,2026-06-06
56,11,59,no_iniciado,0,2026-06-06
57,11,60,no_iniciado,0,2026-06-06
58,12,17,en_progreso,40.78,2026-09-21
59,12,18,no_iniciado,0,2026-04-26
60,12,19,no_iniciado,0,2026-04-26
61,12,20,no_iniciado,0,2026-04-26
62,13,38,completado,100,2026-09-19
63,13,39,completado,100,2026-09-21
64,13,40,no_iniciado,0,2026-08-09
65,13,41,no_iniciado,0,2026-08-09
66,13,42,no_iniciado,0,2026-08-09
67,13,43,no_iniciado,0,2026-08-09
68,14,9,no_iniciado,0,2026-09-03
69,14,10,no_iniciado,0,2026-09-03
70,14,11,no_iniciado,0,2026-09-03
71,14,12,no_iniciado,0,2026-09-03
72,15,5,en_progreso,57.4,2026-09-21
73,15,6,no_iniciado,0,2026-05-11
74,15,7,no_iniciado,0,2026-05-11
75,15,8,no_iniciado,0,2026-05-11
76,16,50,abandonado,10,2026-09-18
77,16,51,no_iniciado,0,2026-05-27
78,16,52,no_iniciado,0,2026-05-27
79,16,53,no_iniciado,0,2026-05-27
80,16,54,no_iniciado,0,2026-05-27
81,16,55,no_iniciado,0,2026-05-27
82,17,17,abandonado,10,2026-09-20
83,17,18,no_iniciado,0,2026-04-23
84,17,19,no_iniciado,0,2026-04-23
85,17,20,no_iniciado,0,2026-04-23
86,18,38,en_progreso,31.58,2026-09-21
87,18,39,no_iniciado,0,2026-07-14
88,18,40,no_iniciado,0,2026-07-14
89,18,41,no_iniciado,0,2026-07-14
90,18,42,no_iniciado,0,2026-07-14
91,18,43,no_iniciado,0,2026-07-14
92,19,44,en_progreso,53.82,2026-09-21
93,19,45,no_iniciado,0,2026-06-19
94,19,46,no_iniciado,0,2026-06-19
95,19,47,no_iniciado,0,2026-06-19
96,19,48,no_iniciado,0,2026-06-19
97,19,49,no_iniciado,0,2026-06-19
98,20,13,en_progreso,34.49,2026-09-20
99,20,14,no_iniciado,0,2026-07-10
100,20,15,no_iniciado,0,2026-07-10
101,20,16,no_iniciado,0,2026-07-10
102,21,21,en_progreso,43.69,2026-09-19
103,21,22,no_iniciado,0,2026-05-19
104,21,23,no_iniciado,0,2026-05-19
105,21,24,no_iniciado,0,2026-05-19
106,21,25,no_iniciado,0,2026-05-19
107,21,26,no_iniciado,0,2026-05-19
108,21,27,no_iniciado,0,2026-05-19
109,22,38,abandonado,10,2026-09-17
110,22,39,no_iniciado,0,2026-07-09
111,22,40,no_iniciado,0,2026-07-09
112,22,41,no_iniciado,0,2026-07-09
113,22,42,no_iniciado,0,2026-07-09
114,22,43,no_iniciado,0,2026-07-09
115,23,1,completado,100,2026-09-18
116,23,2,en_progreso,32.52,2026-09-21
117,23,3,no_iniciado,0,2026-09-01
118,23,4,no_iniciado,0,2026-09-01
119,24,44,abandonado,10,2026-09-18
120,24,45,no_iniciado,0,2026-05-29
121,24,46,no_iniciado,0,2026-05-29
122,24,47,no_iniciado,0,2026-05-29
123,24,48,no_iniciado,0,2026-05-29
124,24,49,no_iniciado,0,2026-05-29
125,25,21,abandonado,10,2026-09-19
126,25,22,no_iniciado,0,2026-07-08
127,25,23,no_iniciado,0,2026-07-08
128,25,24,no_iniciado,0,2026-07-08
129,25,25,no_iniciado,0,2026-07-08
130,25,26,no_iniciado,0,2026-07-08
131,25,27,no_iniciado,0,2026-07-08
132,26,1,completado,100,2026-09-20
