id_evento,id_progreso_modulo,tipo_evento,fecha_evento,detalle
1,2620,iniciado,2026-09-07,
2,457,iniciado,2026-09-07,
3,103,iniciado,2026-09-07,
4,3038,iniciado,2026-09-07,
5,1127,iniciado,2026-09-07,
6,1004,iniciado,2026-09-07,
7,915,iniciado,2026-09-07,
8,572,iniciado,2026-09-07,
9,3017,iniciado,2026-09-07,
10,420,iniciado,2026-09-07,
11,2772,iniciado,2026-09-07,
12,3034,iniciado,2026-09-07,
13,3655,iniciado,2026-09-07,
14,2234,iniciado,2026-09-07,
15,357,iniciado,2026-09-07,
16,2419,iniciado,2026-09-07,
17,1729,iniciado,2026-09-07,
18,131,iniciado,2026-09-07,
19,123,iniciado,2026-09-07,
20,384,iniciado,2026-09-07,
21,896,iniciado,2026-09-07,
22,953,iniciado,2026-09-07,
23,2070,iniciado,2026-09-07,
24,2466,iniciado,2026-09-07,
25,109,iniciado,2026-09-07,
26,2299,iniciado,2026-09-07,
27,815,iniciado,2026-09-07,
28,2933,iniciado,2026-09-07,
29,2662,iniciado,2026-09-07,
30,2873,iniciado,2026-09-07,
31,2233,iniciado,2026-09-07,
32,1719,iniciado,2026-09-07,
33,903,iniciado,2026-09-07,
34,1840,iniciado,2026-09-07,
35,2414,iniciado,2026-09-07,
36,1140,iniciado,2026-09-07,
37,3316,iniciado,2026-09-07,
38,3561,iniciado,2026-09-07,
39,27,iniciado,2026-09-07,
40,3109,iniciado,2026-09-07,
41,3301,iniciado,2026-09-07,
42,654,iniciado,2026-09-07,
43,2860,iniciado,2026-09-07,
44,1732,iniciado,2026-09-07,
45,1394,iniciado,2026-09-07,
46,1139,iniciado,2026-09-07,
47,637,iniciado,2026-09-07,
48,882,iniciado,2026-09-07,
49,3921,iniciado,2026-09-07,
50,3128,iniciado,2026-09-07,
51,1379,iniciado,2026-09-07,
52,419,iniciado,2026-09-07,
53,380,iniciado,2026-09-07,
54,1557,iniciado,2026-09-07,
55,397,iniciado,2026-09-07,
56,1471,iniciado,2026-09-07,
57,3472,iniciado,2026-09-07,
58,1409,iniciado,2026-09-07,
59,2473,iniciado,2026-09-07,
60,1084,iniciado,2026-09-07,
61,3306,iniciado,2026-09-07,
62,178,iniciado,2026-09-07,
63,2989,iniciado,2026-09-07,
64,1882,iniciado,2026-09-07,
65,2197,iniciado,2026-09-07,
66,512,iniciado,2026-09-07,
67,3986,iniciado,2026-09-07,
68,3778,iniciado,2026-09-07,
69,1551,iniciado,2026-09-07,
70,323,iniciado,2026-09-07,
71,2262,iniciado,2026-09-07,
72,1201,iniciado,2026-09-07,
73,3398,iniciado,2026-09-07,
74,2575,iniciado,2026-09-07,
75,2534,iniciado,2026-09-07,
76,3627,iniciado,2026-09-07,
77,3530,iniciado,2026-09-07,
78,1482,iniciado,2026-09-07,
79,2365,iniciado,2026-09-07,
80,788,iniciado,2026-09-07,
81,2886,iniciado,2026-09-07,
82,285,iniciado,2026-09-07,
83,188,iniciado,2026-09-07,
84,2709,iniciado,2026-09-07,
85,934,iniciado,2026-09-07,
86,3167,iniciado,2026-09-07,
87,1186,iniciado,2026-09-07,
88,4036,iniciado,2026-09-07,
89,327,iniciado,2026-09-07,
90,3504,iniciado,2026-09-07,
91,954,iniciado,2026-09-07,
92,3550,iniciado,2026-09-07,
93,414,iniciado,2026-09-07,
94,1557,en_progreso,2026-09-07,
95,1495,iniciado,2026-09-07,
96,667,iniciado,2026-09-07,
97,1517,iniciado,2026-09-07,
98,1456,iniciado,2026-09-07,
99,859,iniciado,2026-09-07,
100,2746,iniciado,2026-09-07,
101,1094,iniciado,2026-09-07,
102,2875,iniciado,2026-09-07,
103,3837,iniciado,2026-09-07,
104,2800,iniciado,2026-09-07,
105,2655,iniciado,2026-09-07,
106,293,iniciado,2026-09-07,
107,2496,iniciado,2026-09-07,
108,2601,iniciado,2026-09-07,
109,701,iniciado,2026-09-07,
110,2188,iniciado,2026-09-07,
111,2987,iniciado,2026-09-07,
112,1003,iniciado,2026-09-07,
113,670,iniciado,2026-09-07,
114,1894,iniciado,2026-09-07,
115,1555,iniciado,2026-09-07,
116,1106,iniciado,2026-09-07,
117,4054,iniciado,2026-09-07,
118,3791,iniciado,2026-09-07,
119,2622,iniciado,2026-09-07,
120,2819,iniciado,2026-09-07,
121,2282,iniciado,2026-09-07,
122,900,iniciado,2026-09-07,
123,2805,iniciado,2026-09-07,
124,1329,iniciado,2026-09-07,
125,3453,iniciado,2026-09-07,
126,3148,iniciado,2026-09-07,
127,3179,iniciado,2026-09-07,
128,230,iniciado,2026-09-07,
129,939,iniciado,2026-09-07,
130,3367,iniciado,2026-09-07,
131,132,iniciado,2026-09-07,
132,3298,iniciado,2026-09-07,
133,1293,iniciado,2026-09-07,
134,1644,iniciado,2026-09-07,
135,1097,iniciado,2026-09-07,
136,272,iniciado,2026-09-07,
137,865,iniciado,2026-09-07,
138,3741,iniciado,2026-09-07,
139,3863,iniciado,2026-09-07,
140,2324,iniciado,2026-09-07,
141,3590,iniciado,2026-09-07,
142,2941,iniciado,2026-09-07,
143,1289,iniciado,2026-09-07,
144,871,iniciado,2026-09-07,
145,2685,iniciado,2026-09-07,
146,2045,iniciado,2026-09-07,
147,1621,iniciado,2026-09-07,
