id_inscripcion,id_estudiante,id_curso,id_cohorte,fecha_inscripcion,estado_curso,porcentaje_avance_curso
1,1,9,1,2026-05-19,en_curso,5
2,1,1,1,2026-06-28,en_curso,26.25
3,2,12,2,2026-07-16,abandonado,39.86
4,2,2,2,2026-08-06,en_curso,0
5,2,9,2,2026-07-10,en_curso,19.17
6,3,11,3,2026-08-30,en_curso,33.33
7,3,6,3,2026-08-29,en_curso,24.59
8,4,5,1,2026-04-22,en_curso,26.25
9,5,3,3,2026-08-25,en_curso,0
10,5,8,1,2026-05-06,en_curso,23.4
11,6,12,2,2026-07-19,en_curso,2
12,7,5,1,2026-05-20,en_curso,31.71
13,7,9,2,2026-07-27,en_curso,15.92
14,7,3,1,2026-06-12,en_curso,7.5
15,8,2,3,2026-08-16,en_curso,23.75
16,8,11,2,2026-07-11,en_curso,33.33
17,8,5,2,2026-07-21,en_curso,9.26
18,9,9,1,2026-06-22,abandonado,34.54
19,9,10,1,2026-06-09,en_curso,1.67
20,9,4,1,2026-05-13,en_curso,2.5
21,10,6,1,2026-07-08,en_curso,39.31
22,11,9,2,2026-07-22,en_curso,35
23,12,1,1,2026-06-15,en_curso,23.75
24,12,10,2,2026-07-25,en_curso,24.25
25,12,6,1,2026-06-17,en_curso,56.77
26,13,1,3,2026-08-19,en_curso,7.5
27,13,2,3,2026-08-27,en_curso,2.5
28,14,5,3,2026-08-20,en_curso,0
29,14,4,3,2026-08-12,en_curso,0
30,15,4,3,2026-08-22,en_curso,43.73
31,16,2,1,2026-05-31,en_curso,10
32,16,12,2,2026-08-06,en_curso,4
33,16,8,2,2026-07-13,en_curso,41.45
34,17,9,1,2026-05-17,en_curso,19.94
35,18,3,1,2026-05-27,en_curso,5
36,19,8,1,2026-06-03,en_curso,40.26
37,19,9,2,2026-07-27,en_curso,22.58
38,19,3,1,2026-06-06,en_curso,7.71
39,20,9,1,2026-05-23,en_curso,31.67
40,20,10,1,2026-06-06,en_curso,19.17
41,21,4,1,2026-06-05,en_curso,29.98
42,21,9,3,2026-08-24,abandonado,49.17
43,22,12,1,2026-05-20,en_curso,15.96
44,22,4,3,2026-08-22,en_curso,18.59
45,22,5,3,2026-08-24,en_curso,50
46,23,11,2,2026-07-13,en_curso,17.96
47,23,12,1,2026-06-10,en_curso,33.17
48,24,8,2,2026-07-12,en_curso,24.56
49,24,9,1,2026-06-16,en_curso,39.1
50,25,2,2,2026-07-27,en_curso,27.5
51,25,4,3,2026-08-28,en_curso,2.5
52,26,2,1,2026-06-02,en_curso,26.25
53,27,1,1,2026-06-04,en_curso,32.34
54,27,10,1,2026-05-03,en_curso,19.17
55,28,4,2,2026-07-30,en_curso,21.92
56,28,10,3,2026-08-19,en_curso,33.98
57,28,12,2,2026-07-24,abandonado,47.02
58,29,2,1,2026-06-22,en_curso,23.75
59,30,11,1,2026-06-25,en_curso,22.81
60,30,1,1,2026-06-16,en_curso,73.75
61,30,4,1,2026-05-08,en_curso,71.25
62,31,1,1,2026-06-05,en_curso,28.75
63,32,2,1,2026-04-18,en_curso,26.25
64,32,9,1,2026-06-04,en_curso,20.83
65,33,5,3,2026-08-26,en_curso,47.5
66,34,8,1,2026-04-25,en_curso,18.57
67,34,4,1,2026-06-16,en_curso,18.83
68,34,9,1,2026-07-04,en_curso,6.87
69,35,12,3,2026-08-15,en_curso,19
70,36,10,1,2026-05-29,en_curso,38.82
71,36,8,3,2026-09-02,en_curso,15.83
72,36,4,2,2026-07-12,en_curso,5
73,37,7,1,2026-05-21,en_curso,0
74,37,4,1,2026-05-19,en_curso,0
75,38,2,2,2026-07-23,en_curso,46.34
76,39,7,1,2026-06-01,en_curso,73.75
77,39,6,2,2026-07-28,en_curso,30
78,39,12,3,2026-08-23,en_curso,4
79,40,8,1,2026-06-01,en_curso,1.67
80,40,1,1,2026-05-06,en_curso,51.25
81,41,11,1,2026-05-01,en_curso,34.17
82,41,12,2,2026-08-07,en_curso,58
83,41,2,3,2026-08-31,en_curso,26.25
84,42,7,2,2026-08-01,en_curso,9.53
85,43,6,1,2026-05-26,en_curso,32.86
86,43,2,1,2026-05-27,en_curso,23.75
87,43,4,1,2026-04-19,en_curso,2.5
88,44,4,3,2026-08-18,en_curso,16.06
89,45,8,2,2026-07-22,en_curso,6.67
90,45,3,1,2026-05-23,en_curso,10.91
91,45,7,3,2026-08-11,en_curso,16.43
92,46,5,1,2026-05-25,en_curso,10.81
93,47,4,1,2026-04-20,en_curso,50
94,47,2,1,2026-04-29,en_curso,35.36
95,48,9,1,2026-06-29,en_curso,23.07
96,48,2,1,2026-06-13,en_curso,73.75
97,49,11,3,2026-08-27,abandonado,31.82
98,50,1,2,2026-07-10,en_curso,2.5
99,50,2,1,2026-04-29,en_curso,24.88
100,50,4,3,2026-08-20,en_curso,19.68
101,51,7,1,2026-05-06,en_curso,7.8
102,52,8,1,2026-04-11,en_curso,27.75
103,52,4,2,2026-07-25,en_curso,28.75
104,53,1,1,2026-05-10,en_curso,0
105,53,3,1,2026-06-28,en_curso,7.5
106,54,1,3,2026-08-14,en_curso,30
107,54,7,2,2026-07-11,en_curso,39.78
108,55,8,2,2026-07-11,en_curso,29.9
109,55,5,3,2026-08-14,en_curso,50
110,56,12,1,2026-05-18,en_curso,6.4
111,56,9,3,2026-09-03,en_curso,39.48
112,57,12,1,2026-06-04,en_curso,21
113,57,8,1,2026-06-11,en_curso,17.5
114,57,3,1,2026-06-04,en_curso,26.25
115,58,5,3,2026-08-13,en_curso,0
116,59,1,1,2026-04-21,en_curso,31.25
117,60,12,1,2026-04-27,en_curso,38
118,60,9,3,2026-08-14,en_curso,22.24
119,60,1,2,2026-07-30,en_curso,26.25
120,61,6,1,2026-05-25,en_curso,29.99
121,61,1,2,2026-07-22,en_curso,34.59
122,61,11,3,2026-08-31,abandonado,17.5
123,62,8,3,2026-08-28,en_curso,12.87
124,62,9,1,2026-04-17,en_curso,36.77
125,62,11,1,2026-05-13,en_curso,8.33
126,63,1,1,2026-06-30,abandonado,47.5
127,64,2,1,2026-05-14,en_curso,7.5
128,64,3,1,2026-04-17,en_curso,18.06
129,64,12,1,2026-06-26,en_curso,23
130,65,2,2,2026-07-15,en_curso,95
131,65,11,1,2026-05-16,en_curso,31.67
132,65,4,3,2026-09-02,en_curso,71.25
133,66,2,1,2026-06-05,en_curso,10
