id_modulo,id_curso,nombre,orden,descripcion,duracion_horas
1,1,Modulo 1: Introduccion y objetivos,1,Gran modelo local cuya plan cuales proyecto ellos libro partes dejó.,8
2,1,Modulo 2: Casos de estudio,2,Generales cantidad propia común grandes lucha.,3
3,1,Modulo 3: Practica guiada,3,Hija puesto cuya presidente dar ley empresas importancia.,3
4,1,Modulo 4: Conceptos fundamentales,4,Decía sangre le muerto título mujeres mujer precisamente llegar buena a zonas fuerte.,8
5,2,Modulo 1: Integracion con otras herramientas,1,Tiempo construcción r ella popular zona miembros pasado cosa voz pacientes.,5
6,2,Modulo 2: Introduccion y objetivos,2,Otra qué pasado secretario pie mañana pocos capacidad arte esos mitad estos estudio.,2
7,2,Modulo 3: Conceptos fundamentales,3,Viene naturaleza tenemos llegar nadie líder han noche deseo.,3
8,2,Modulo 4: Practica guiada,4,Doctor junto algo serie salud quien época.,6
9,3,Modulo 1: Automatizacion,1,Calidad volvió fuego ahora podrá fue es distintas.,3
10,3,Modulo 2: Automatizacion,2,Fuentes pedro sabía base mayor lo voz creación secretario octubre.,5
11,3,Modulo 3: Practica guiada,3,Siempre exterior unas izquierda pública antonio propio buena luz ver.,5
12,3,Modulo 4: Integracion con otras herramientas,4,Lleva tenido historia riesgo ahí curso siquiera entonces antes mis cuenta cómo.,4
13,4,Modulo 1: Herramientas del entorno,1,Misma lejos central texto humano consejo.,8
14,4,Modulo 2: Evaluacion final,2,Sangre diversas real r mal mediante joven blanco europea principal propia e llegó.,4
15,4,Modulo 3: Casos de estudio,3,Hay principios otro entrar ciencia debido.,3
16,4,Modulo 4: Practica guiada,4,Buen cine dan modelo dos armas miguel social conocer economía constitución interés.,4
17,5,Modulo 1: Conceptos fundamentales,1,Noviembre otra autor son cambios torno pública actividades c grado.,5
18,5,Modulo 2: Conceptos fundamentales,2,Fondo español domingo diciembre reunión él dijo viene derecho éxito.,4
19,5,Modulo 3: Proyecto aplicado,3,Instituciones claro b trabajo puesto arriba derecha presencia unión diversos propio sabe enero.,6
20,5,Modulo 4: Casos de estudio,4,Grande título modelo políticas próximo autor relaciones.,2
21,6,Modulo 1: Automatizacion,1,Es llegar marzo aquella vino sistema premio toda equipo expresión.,2
22,6,Modulo 2: Evaluacion final,2,Sola g juicio esta pesetas vino momento sabe sea principios sola costa.,2
23,6,Modulo 3: Automatizacion,3,Valores había c escuela septiembre actividades llevar programas.,4
24,6,Modulo 4: Integracion con otras herramientas,4,Banco propio pasó joven g fuerza encuentran líder.,4
25,6,Modulo 5: Integracion con otras herramientas,5,Carrera diferencia jefe capital estas nuestro conocer instituciones qué cerca acción.,3
26,6,Modulo 6: Conceptos fundamentales,6,Espera justicia hecho hace va consejo congreso.,2
27,6,Modulo 7: Practica guiada,7,Ella debía cámara electoral precios especial servicio puerta hubiera esa tarde.,4
28,7,Modulo 1: Practica guiada,1,Precios fútbol muestra enero hoy unidos título diario lugar ejército.,2
29,7,Modulo 2: Evaluacion final,2,Debido victoria es acuerdo días concepto color relaciones riesgo mano casa.,4
30,7,Modulo 3: Buenas practicas,3,Ambos producto cara general victoria rey su hijos número.,8
31,7,Modulo 4: Proyecto aplicado,4,Cabeza la m civil he existencia recursos.,3
32,8,Modulo 1: Proyecto aplicado,1,Donde próximo sociales vuelve palabra niños futuro ayuda máximo último.,3
33,8,Modulo 2: Casos de estudio,2,Persona donde san lucha estado comunicación.,8
34,8,Modulo 3: Conceptos fundamentales,3,España propia español sangre s tiempos conseguir posibilidad josé hombre.,6
35,8,Modulo 4: Herramientas del entorno,4,Todo dice enero considera mal propio hijo sala pronto todo reunión.,6
36,8,Modulo 5: Practica guiada,5,Persona práctica señora mayoría hecho fuerza dicen miedo vio.,3
37,8,Modulo 6: Buenas practicas,6,Español ciudad autoridades méxico conciencia público eso medios salud explicó.,5
