id_progreso_modulo,id_inscripcion,id_modulo,estado_modulo,porcentaje_avance_modulo,fecha_actualizacion
1,1,38,no_iniciado,0,2026-05-19
2,1,39,en_progreso,10,2026-09-07
3,1,40,en_progreso,10,2026-09-07
4,1,41,no_iniciado,0,2026-05-19
5,1,42,en_progreso,10,2026-09-08
6,1,43,no_iniciado,0,2026-05-19
7,2,1,en_progreso,10,2026-09-07
8,2,2,no_iniciado,0,2026-06-28
9,2,3,en_progreso,10,2026-09-07
10,2,4,no_iniciado,0,2026-06-28
11,3,56,en_progreso,10,2026-09-08
12,3,57,en_progreso,59.52,2026-09-10
13,3,58,no_iniciado,0,2026-07-16
14,3,59,abandonado,58.62,2026-09-10
15,3,60,en_progreso,10,2026-09-07
16,4,5,no_iniciado,0,2026-08-06
17,4,6,no_iniciado,0,2026-08-06
18,4,7,no_iniciado,0,2026-08-06
19,4,8,no_iniciado,0,2026-08-06
20,5,38,no_iniciado,0,2026-07-10
21,5,39,no_iniciado,0,2026-07-10
22,5,40,no_iniciado,0,2026-07-10
23,5,41,en_progreso,10,2026-09-07
24,5,42,no_iniciado,0,2026-07-10
25,5,43,en_progreso,10,2026-09-07
26,6,50,en_progreso,10,2026-09-08
27,6,51,en_progreso,10,2026-09-07
28,6,52,no_iniciado,0,2026-08-30
29,6,53,no_iniciado,0,2026-08-30
30,6,54,en_progreso,29.47,2026-09-10
31,6,55,no_iniciado,0,2026-08-30
32,7,21,en_progreso,50.64,2026-09-10
33,7,22,en_progreso,10,2026-09-10
34,7,23,no_iniciado,0,2026-08-29
35,7,24,no_iniciado,0,2026-08-29
36,7,25,no_iniciado,0,2026-08-29
37,7,26,no_iniciado,0,2026-08-29
38,7,27,no_iniciado,0,2026-08-29
39,8,17,en_progreso,10,2026-09-07
40,8,18,en_progreso,10,2026-09-07
41,8,19,no_iniciado,0,2026-04-22
42,8,20,no_iniciado,0,2026-04-22
43,9,9,no_iniciado,0,2026-08-25
44,9,10,no_iniciado,0,2026-08-25
45,9,11,no_iniciado,0,2026-08-25
46,9,12,no_iniciado,0,2026-08-25
47,10,32,no_iniciado,0,2026-05-06
48,10,33,en_progreso,10,2026-09-10
49,10,34,no_iniciado,0,2026-05-06
50,10,35,no_iniciado,0,2026-05-06
51,10,36,en_progreso,10,2026-09-07
52,10,37,completado,95,2026-09-10
53,11,56,no_iniciado,0,2026-07-19
54,11,57,no_iniciado,0,2026-07-19
55,11,58,no_iniciado,0,2026-07-19
56,11,59,no_iniciado,0,2026-07-19
57,11,60,en_progreso,10,2026-09-08
58,12,17,en_progreso,45.55,2026-09-10
59,12,18,no_iniciado,0,2026-05-20
60,12,19,no_iniciado,0,2026-05-20
61,12,20,en_progreso,31.83,2026-09-09
62,13,38,no_iniciado,0,2026-07-27
63,13,39,en_progreso,10,2026-09-08
64,13,40,no_iniciado,0,2026-07-27
65,13,41,en_progreso,20.79,2026-09-09
66,13,42,no_iniciado,0,2026-07-27
67,13,43,no_iniciado,0,2026-07-27
68,14,9,en_progreso,10,2026-09-10
69,14,10,no_iniciado,0,2026-06-12
70,14,11,no_iniciado,0,2026-06-12
71,14,12,en_progreso,10,2026-09-07
72,15,5,no_iniciado,0,2026-08-16
73,15,6,no_iniciado,0,2026-08-16
74,15,7,no_iniciado,0,2026-08-16
75,15,8,en_progreso,22.7,2026-09-10
76,16,50,no_iniciado,0,2026-07-11
77,16,51,no_iniciado,0,2026-07-11
78,16,52,no_iniciado,0,2026-07-11
79,16,53,no_iniciado,0,2026-07-11
80,16,54,en_progreso,10,2026-09-10
81,16,55,completado,95,2026-09-09
82,17,17,no_iniciado,0,2026-07-21
83,17,18,no_iniciado,0,2026-07-21
84,17,19,en_progreso,27.05,2026-09-10
85,17,20,en_progreso,10,2026-09-08
86,18,38,no_iniciado,0,2026-06-22
87,18,39,en_progreso,10,2026-09-10
88,18,40,en_progreso,40,2026-09-10
89,18,41,no_iniciado,0,2026-06-22
90,18,42,en_progreso,10,2026-09-08
91,18,43,no_iniciado,0,2026-06-22
92,19,44,no_iniciado,0,2026-06-09
93,19,45,no_iniciado,0,2026-06-09
94,19,46,no_iniciado,0,2026-06-09
95,19,47,no_iniciado,0,2026-06-09
96,19,48,no_iniciado,0,2026-06-09
97,19,49,en_progreso,10,2026-09-07
98,20,13,no_iniciado,0,2026-05-13
99,20,14,no_iniciado,0,2026-05-13
100,20,15,no_iniciado,0,2026-05-13
101,20,16,en_progreso,10,2026-09-07
102,21,21,en_progreso,57.74,2026-09-10
103,21,22,en_progreso,10,2026-09-08
104,21,23,no_iniciado,0,2026-07-08
105,21,24,no_iniciado,0,2026-07-08
106,21,25,en_progreso,65.17,2026-09-10
107,21,26,en_progreso,10,2026-09-10
108,21,27,en_progreso,47.16,2026-09-10
109,22,38,en_progreso,10,2026-09-07
110,22,39,en_progreso,25.95,2026-09-10
111,22,40,en_progreso,10,2026-09-09
112,22,41,en_progreso,26.43,2026-09-09
113,22,42,no_iniciado,0,2026-07-22
114,22,43,no_iniciado,0,2026-07-22
115,23,1,no_iniciado,0,2026-06-15
116,23,2,no_iniciado,0,2026-06-15
117,23,3,en_progreso,10,2026-09-10
118,23,4,no_iniciado,0,2026-06-15
119,24,44,en_progreso,73.02,2026-09-10
120,24,45,no_iniciado,0,2026-07-25
121,24,46,no_iniciado,0,2026-07-25
122,24,47,no_iniciado,0,2026-07-25
123,24,48,en_progreso,50.47,2026-09-10
124,24,49,no_iniciado,0,2026-07-25
125,25,21,no_iniciado,0,2026-06-17
126,25,22,en_progreso,10,2026-09-10
127,25,23,no_iniciado,0,2026-06-17
128,25,24,en_progreso,44.36,2026-09-10
129,25,25,completado,100,2026-09-10
130,25,26,no_iniciado,0,2026-06-17
131,25,27,en_progreso,10,2026-09-07
132,26,1,en_progreso,10,2026-09-07
133,26,2,en_progreso,10,2026-09-09
134,26,3,en_progreso,10,2026-09-08
135,26,4,no_iniciado,0,2026-08-19
136,27,5,no_iniciado,0,2026-08-27
137,27,6,en_progreso,10,2026-09-09
138,27,7,no_iniciado,0,2026-08-27
139,27,8,no_iniciado,0,2026-08-27
140,28,17,no_iniciado,0,2026-08-20
141,28,18,no_iniciado,0,2026-08-20
142,28,19,no_iniciado,0,2026-08-20
